              -2               2             100
             -15           -0.22             100
              -2             -15         1.79199         2.35165
              -2        -14.8522         1.79198         2.35149
              -2        -14.7044         1.79198         2.35132
              -2        -14.5566         1.79198         2.35115
              -2        -14.4088         1.79198         2.35097
              -2         -14.261         1.79198         2.35079
              -2        -14.1132         1.79198         2.35061
              -2        -13.9654         1.79197         2.35042
              -2        -13.8176         1.79197         2.35023
              -2        -13.6698         1.79197         2.35003
              -2         -13.522         1.79196         2.34983
              -2        -13.3742         1.79196         2.34963
              -2        -13.2264         1.79196         2.34942
              -2        -13.0786         1.79195          2.3492
              -2        -12.9308         1.79195         2.34899
              -2         -12.783         1.79194         2.34876
              -2        -12.6352         1.79194         2.34853
              -2        -12.4874         1.79193          2.3483
              -2        -12.3396         1.79192         2.34806
              -2        -12.1918         1.79192         2.34781
              -2         -12.044         1.79191         2.34756
              -2        -11.8962          1.7919         2.34731
              -2        -11.7484         1.79189         2.34704
              -2        -11.6006         1.79188         2.34677
              -2        -11.4528         1.79186         2.34649
              -2         -11.305         1.79185         2.34621
              -2        -11.1572         1.79184         2.34591
              -2        -11.0094         1.79182         2.34561
              -2        -10.8616          1.7918          2.3453
              -2        -10.7138         1.79178         2.34499
              -2         -10.566         1.79176         2.34466
              -2        -10.4182         1.79174         2.34432
              -2        -10.2704         1.79171         2.34398
              -2        -10.1226         1.79168         2.34362
              -2         -9.9748         1.79165         2.34326
              -2          -9.827         1.79162         2.34288
              -2         -9.6792         1.79158         2.34249
              -2         -9.5314         1.79154         2.34209
              -2         -9.3836          1.7915         2.34168
              -2         -9.2358         1.79145         2.34125
              -2          -9.088         1.79139         2.34081
              -2         -8.9402         1.79133         2.34036
              -2         -8.7924         1.79127         2.33989
              -2         -8.6446          1.7912          2.3394
              -2         -8.4968         1.79112          2.3389
              -2          -8.349         1.79103         2.33838
              -2         -8.2012         1.79094         2.33784
              -2         -8.0534         1.79084         2.33728
              -2         -7.9056         1.79073          2.3367
              -2         -7.7578         1.79061          2.3361
              -2           -7.61         1.79047         2.33547
              -2         -7.4622         1.79033         2.33482
              -2         -7.3144         1.79017         2.33414
              -2         -7.1666            1.79         2.33344
              -2         -7.0188         1.78981         2.33271
              -2          -6.871          1.7896         2.33194
              -2         -6.7232         1.78938         2.33114
              -2         -6.5754         1.78914         2.33031
              -2         -6.4276         1.78888         2.32943
              -2         -6.2798          1.7886         2.32852
              -2          -6.132          1.7883         2.32756
              -2         -5.9842         1.78797         2.32655
              -2         -5.8364         1.78762          2.3255
              -2         -5.6886         1.78725         2.32439
              -2         -5.5408         1.78685         2.32322
              -2          -5.393         1.78642         2.32198
              -2         -5.2452         1.78598         2.32068
              -2         -5.0974         1.78551          2.3193
              -2         -4.9496         1.78502         2.31784
              -2         -4.8018         1.78452         2.31629
              -2          -4.654           1.784         2.31465
              -2         -4.5062         1.78348         2.31289
              -2         -4.3584         1.78297         2.31102
              -2         -4.2106         1.78247         2.30902
              -2         -4.0628         1.78201         2.30688
              -2          -3.915          1.7816         2.30457
              -2         -3.7672         1.78127         2.30209
              -2         -3.6194         1.78106         2.29941
              -2         -3.4716           1.781         2.29651
              -2         -3.3238         1.78116         2.29335
              -2          -3.176         1.78158         2.28991
              -2         -3.0282         1.78237         2.28615
              -2         -2.8804         1.78361         2.28203
              -2         -2.7326         1.78542         2.27748
              -2         -2.5848         1.78797         2.27244
              -2          -2.437         1.79145         2.26685
              -2         -2.2892         1.79607          2.2606
              -2         -2.1414         1.80212          2.2536
              -2         -1.9936         1.80995         2.24572
              -2         -1.8458         1.81999         2.23682
              -2          -1.698         1.83273         2.22676
              -2         -1.5502         1.84881          2.2154
              -2         -1.4024           1.869         2.20268
              -2         -1.2546         1.89422         2.18873
              -2         -1.1068         1.92561         2.17422
              -2          -0.959         1.96453         2.16115
              -2         -0.8112         2.01267         2.15483
              -2         -0.6634         2.07203          2.1694
              -2         -0.5156         2.14509          2.2435
              -2         -0.3678         2.23483         2.48902
           -1.96             -15         1.72102         2.27352
           -1.96        -14.8522         1.72102         2.27336
           -1.96        -14.7044         1.72102         2.27319
           -1.96        -14.5566         1.72102         2.27301
           -1.96        -14.4088         1.72102         2.27284
           -1.96         -14.261         1.72101         2.27266
           -1.96        -14.1132         1.72101         2.27247
           -1.96        -13.9654         1.72101         2.27229
           -1.96        -13.8176         1.72101          2.2721
           -1.96        -13.6698           1.721          2.2719
           -1.96         -13.522           1.721          2.2717
           -1.96        -13.3742           1.721          2.2715
           -1.96        -13.2264         1.72099         2.27129
           -1.96        -13.0786         1.72099         2.27107
           -1.96        -12.9308         1.72098         2.27086
           -1.96         -12.783         1.72098         2.27063
           -1.96        -12.6352         1.72097          2.2704
           -1.96        -12.4874         1.72097         2.27017
           -1.96        -12.3396         1.72096         2.26993
           -1.96        -12.1918         1.72095         2.26968
           -1.96         -12.044         1.72094         2.26943
           -1.96        -11.8962         1.72094         2.26917
           -1.96        -11.7484         1.72092         2.26891
           -1.96        -11.6006         1.72091         2.26864
           -1.96        -11.4528          1.7209         2.26836
           -1.96         -11.305         1.72089         2.26808
           -1.96        -11.1572         1.72087         2.26778
           -1.96        -11.0094         1.72086         2.26748
           -1.96        -10.8616         1.72084         2.26717
           -1.96        -10.7138         1.72082         2.26685
           -1.96         -10.566          1.7208         2.26653
           -1.96        -10.4182         1.72078         2.26619
           -1.96        -10.2704         1.72075         2.26585
           -1.96        -10.1226         1.72072         2.26549
           -1.96         -9.9748         1.72069         2.26513
           -1.96          -9.827         1.72066         2.26475
           -1.96         -9.6792         1.72062         2.26436
           -1.96         -9.5314         1.72058         2.26396
           -1.96         -9.3836         1.72053         2.26355
           -1.96         -9.2358         1.72048         2.26312
           -1.96          -9.088         1.72043         2.26268
           -1.96         -8.9402         1.72037         2.26223
           -1.96         -8.7924         1.72031         2.26176
           -1.96         -8.6446         1.72023         2.26127
           -1.96         -8.4968         1.72016         2.26077
           -1.96          -8.349         1.72007         2.26025
           -1.96         -8.2012         1.71998         2.25971
           -1.96         -8.0534         1.71988         2.25915
           -1.96         -7.9056         1.71976         2.25857
           -1.96         -7.7578         1.71964         2.25797
           -1.96           -7.61         1.71951         2.25734
           -1.96         -7.4622         1.71936         2.25669
           -1.96         -7.3144          1.7192         2.25601
           -1.96         -7.1666         1.71903         2.25531
           -1.96         -7.0188         1.71884         2.25458
           -1.96          -6.871         1.71864         2.25381
           -1.96         -6.7232         1.71842         2.25301
           -1.96         -6.5754         1.71818         2.25218
           -1.96         -6.4276         1.71792          2.2513
           -1.96         -6.2798         1.71764         2.25039
           -1.96          -6.132         1.71733         2.24943
           -1.96         -5.9842         1.71701         2.24842
           -1.96         -5.8364         1.71666         2.24737
           -1.96         -5.6886         1.71628         2.24626
           -1.96         -5.5408         1.71588         2.24509
           -1.96          -5.393         1.71546         2.24385
           -1.96         -5.2452         1.71501         2.24255
           -1.96         -5.0974         1.71455         2.24117
           -1.96         -4.9496         1.71406         2.23971
           -1.96         -4.8018         1.71355         2.23816
           -1.96          -4.654         1.71304         2.23652
           -1.96         -4.5062         1.71252         2.23476
           -1.96         -4.3584           1.712         2.23289
           -1.96         -4.2106         1.71151         2.23089
           -1.96         -4.0628         1.71104         2.22874
           -1.96          -3.915         1.71064         2.22644
           -1.96         -3.7672         1.71031         2.22396
           -1.96         -3.6194          1.7101         2.22128
           -1.96         -3.4716         1.71004         2.21837
           -1.96         -3.3238         1.71019         2.21522
           -1.96          -3.176         1.71062         2.21178
           -1.96         -3.0282          1.7114         2.20802
           -1.96         -2.8804         1.71264         2.20389
           -1.96         -2.7326         1.71446         2.19935
           -1.96         -2.5848         1.71701         2.19431
           -1.96          -2.437         1.72048         2.18872
           -1.96         -2.2892         1.72511         2.18247
           -1.96         -2.1414         1.73116         2.17547
           -1.96         -1.9936         1.73899         2.16759
           -1.96         -1.8458         1.74902         2.15869
           -1.96          -1.698         1.76177         2.14863
           -1.96         -1.5502         1.77785         2.13727
           -1.96         -1.4024         1.79804         2.12455
           -1.96         -1.2546         1.82326          2.1106
           -1.96         -1.1068         1.85465         2.09609
           -1.96          -0.959         1.89357         2.08302
           -1.96         -0.8112          1.9417          2.0767
           -1.96         -0.6634         2.00107         2.09127
           -1.96         -0.5156         2.07413         2.16537
           -1.96         -0.3678         2.16387         2.41089
           -1.92             -15         1.65149         2.19682
           -1.92        -14.8522         1.65149         2.19666
           -1.92        -14.7044         1.65149         2.19649
           -1.92        -14.5566         1.65149         2.19632
           -1.92        -14.4088         1.65149         2.19614
           -1.92         -14.261         1.65148         2.19596
           -1.92        -14.1132         1.65148         2.19578
           -1.92        -13.9654         1.65148         2.19559
           -1.92        -13.8176         1.65148          2.1954
           -1.92        -13.6698         1.65147          2.1952
           -1.92         -13.522         1.65147           2.195
           -1.92        -13.3742         1.65147          2.1948
           -1.92        -13.2264         1.65146         2.19459
           -1.92        -13.0786         1.65146         2.19438
